player_name,pitch_category,Pitches,Average Pitch Speed,Average Effective Pitch Speed,Average Spin Rate,Average Horizontal Break,Average Vertical Break,Corner %,BAA,SLGA,BABIPA,wOBAA
Darren O'Day,Off-speed,141,79.8,80.6,2247.1, 0.270,0.067,0.007,0.167,0.194,0.250,0.230
Darwinzon Hernandez,Fastball,128,94.3,95.3,2338.3,0.201,1.004,0.008,0.143,0.143,0.231,0.282
David Hale,Fastball,125,92.8,93.4,2279.1,-0.594,1.096,0.008,0.333,0.515,0.385,0.386
David Hale,Off-speed,157,83.9,84.5,1902.4,-0.620,0.501,0.006,0.316,0.500,0.379,0.370
David Peterson,Fastball,304,92.1,93.6,2097.5,0.952,1.164,0.003,0.164,0.262,0.180,0.283
David Peterson,Off-speed,508,84.4,85.5,2081.3,0.498,0.345,0.002,0.222,0.376,0.265,0.316
David Phelps,Off-speed,277,88.4,87.3,2438.8,-0.154,0.345,0.004,0.262,0.557,0.303,0.375
Dean Kremer,Fastball,137,92.8,92.5,2321.3,-0.770, 1.529,0.007,0.222,0.370,0.333,0.300
Dean Kremer,Off-speed,209,83.0,82.6,2379.5, 0.220,-0.074,0.005,0.214,0.405,0.300,0.330
Deivi Garcia,Fastball,317,91.9,92.4,2177.8,-0.695, 1.547,0.003,0.238,0.405,0.270,0.317
Deivi Garcia,Off-speed,215,79.2,79.3,2301.2,-0.162,-0.138,0.005,0.278,0.444,0.324,0.314
Dellin Betances,Fastball,118,93.6,94.2,2193.7,-0.281, 0.958,0.008,0.278,0.333,0.294,0.436
Dellin Betances,Off-speed,123,83.3,83.3,2510.1, 0.869,-0.140,0.008,0.259,0.259,0.412,0.325
Dennis Santana,Off-speed,272,88.3,87.4,2489.4,-0.545,0.243,0.004,0.234,0.453,0.262,0.350
Derek Holland,Off-speed,696,86.5,86.3,2332.5,0.745,0.783,0.001,0.262,0.544,0.291,0.393
Devin Smeltzer,Off-speed,179,78.5,78.2,2094.9,0.258,0.054,0.006,0.318,0.455,0.382,0.344
Devin Williams,Fastball,180,96.4,97.9,2382.6,-0.849, 1.388,0.006,0.200,0.360,0.333,0.340
Devin Williams,Off-speed,251,84.7,85.3,2813.3,-1.380,-0.096,0.004,0.047,0.078,0.125,0.099
Diego Castillo,Off-speed,316,89.6,88.4,2133.8,-0.289,0.321,0.003,0.158,0.316,0.176,0.278
Dillon Tate,Off-speed,220,88.9,88.8,2040.3,-0.784,0.474,0.005,0.195,0.293,0.212,0.283
Dinelson Lamet,Fastball,390,97.0,96.6,2494.8,-0.519,1.424,0.003,0.286,0.462,0.343,0.356
Dinelson Lamet,Off-speed,656,88.1,87.4,2590.0, 0.153,0.365,0.002,0.086,0.139,0.139,0.165
Dominic Leone,Off-speed,151,88.6,89.4,2429.2,0.183,0.302,0.007,0.312,0.562,0.500,0.404
Dovydas Neverauskas,Fastball,168,94.7,95.4,2269.4,-0.639, 1.530,0.006,0.441,0.941,0.423,0.608
Dovydas Neverauskas,Off-speed,190,84.8,85.8,2714.6, 0.453,-0.434,0.005,0.205,0.273,0.333,0.240
Drew Pomeranz,Fastball,257,94.6,93.2,2474.5,0.341,1.546,0.004,0.114,0.182,0.174,0.228
Drew Rasmussen,Fastball,206,97.6,98.0,2454.0,-0.535,1.487,0.005,0.273,0.545,0.360,0.398
Drew Smyly,Fastball,220,93.8,93.0,2248.8,0.474,1.523,0.005,0.237,0.263,0.300,0.278
Drew Smyly,Off-speed,262,83.0,82.5,2200.1,0.174,0.088,0.004,0.175,0.317,0.321,0.234
Duane Underwood Jr.,Fastball,144,94.5,94.5,2148.3,-0.651, 1.228,0.007,0.378,0.730,0.417,0.487
