player_name,Pitches,Average Pitch Speed,Average Effective Pitch Speed,Average Spin Rate,Average Horizontal Break,Average Vertical Break,Corner %,SO,BAA,SLGA,BABIPA,wOBAA,mlb_id,salary,yearID
Jered Weaver,2489,77.70847730012053,76.8835396039604,2225.2751831501832,-0.17135395741261553,1.0674969867416633,4.017677782241864e-4,92,0.2857142857142857,0.48214285714285715,0.24873096446700507,0.35912912912912914,450308,20200000,2016
Jeremy Hellickson,2636,85.69575113808801,84.25328155339805,2176.1082554517134,-0.8862670713201821,0.8819423368740515,3.7936267071320183e-4,134,0.24024960998439937,0.4118564742589704,0.2124600638977636,0.31207792207792207,476451,7000000,2016
Jerry Blevins,609,83.359934318555,82.91940298507463,2242.006655574043,0.26880131362889986,0.8353037766830871,0.0016420361247947454,42,0.2076923076923077,0.3076923076923077,0.18604651162790697,0.2651388888888889,460283,4000000,2016
Jesse Chavez,930,90.44720430107527,90.08356756756757,2343.2239297475303,-0.4453763440860215,1.072258064516129,0.001075268817204301,55,0.29493087557603687,0.5207373271889401,0.24878048780487805,0.38008547008547006,445926,4000000,2016
Jeurys Familia,1145,94.39056768558952,93.56549295774649,2235.08203125,-0.8997379912663755,0.8075109170305677,8.733624454148472e-4,77,0.22957198443579765,0.2801556420233463,0.22868217054263565,0.26799295774647885,544727,4100000,2016
Jim Henderson,587,92.45996592844975,93.0692832764505,2239.6549165120596,-0.682282793867121,1.371550255536627,0.0017035775127768314,36,0.2540983606557377,0.4672131147540984,0.21367521367521367,0.3619424460431655,449104,600000,2016
Jim Johnson,914,90.04070021881839,88.90582417582418,2198.713968957871,-0.8184901531728666,0.6432166301969365,0.0010940919037199124,58,0.24170616113744076,0.35071090047393366,0.22966507177033493,0.3045493562231759,462382,2500000,2016
Joakim Soria,1026,88.71559454191033,88.67424849699398,2130.065284974093,-0.24814814814814815,0.9492202729044834,9.746588693957114e-4,57,0.29464285714285715,0.5089285714285714,0.25925925925925924,0.3848015873015873,465657,7000000,2016
Joe Kelly,739,93.11664411366712,92.24586466165414,2280.8532258064515,-0.5771312584573748,0.8190798376184032,0.0013531799729364006,48,0.27848101265822783,0.45569620253164556,0.2484076433121019,0.3695212765957447,523260,2600000,2016
Joe Smith,769,85.5033810143043,85.1949535192563,2047.148359486448,-0.7092327698309493,0.2222366710013004,0.0013003901170351106,39,0.24043715846994534,0.34972677595628415,0.21348314606741572,0.31643564356435644,501925,5250000,2016
John Axford,1045,93.72191387559809,93.6667964946446,2218.0712166172107,-0.2732057416267943,1.1531100478468899,9.569377990430622e-4,52,0.2775330396475771,0.40969162995594716,0.2556053811659193,0.3437007874015747,446099,4500000,2016
John Danks,387,84.19224806201551,82.89921671018277,2176.711911357341,0.7472868217054264,1.4297157622739018,0.002583979328165375,16,0.3218390804597701,0.5747126436781609,0.27380952380952384,0.4119,433579,15750000,2016
Johnny Cueto,3026,88.37313037723362,87.32082494969819,2145.231350979718,-0.741958967571145,0.9755129053606882,3.3046926635822867e-4,186,0.23159303882195448,0.3333333333333333,0.21951219512195122,0.2800125156445557,456501,17500000,2016
